name,r,x,b,s_nom,bus0,bus1,length
0,0.57132,2.66616,0.0024207099348876287,101.03629710818451,0,1,1.0
1,10.4742,40.18284,0.00029930686830497794,101.03629710818451,0,2,1.0
2,4.18968,16.1874,0.00012077294685990338,101.03629710818451,0,4,1.0
3,6.2845200000000006,24.18588,0.00017853392144507457,101.03629710818451,1,3,1.0
4,9.522,36.56448,0.0002730518798571728,101.03629710818451,1,5,1.0
5,5.90364,22.66236,0.00016803192606595254,101.03629710818451,2,8,1.0
6,5.14188,19.80576,0.00014702793530770847,101.03629710818451,3,8,1.0
7,4.38012,16.75872,0.00012602394454946442,101.03629710818451,4,9,1.0
8,2.66616,11.61684,0.01291220331863054,101.03629710818451,5,9,1.0
9,3.04704,11.61684,8.926696072253729e-05,101.03629710818451,6,7,1.0
10,7.998480000000001,30.66084,0.00023104389834068472,101.03629710818451,6,26,1.0
11,8.18892,31.422600000000003,0.00023629489603024578,101.03629710818451,7,8,1.0
12,8.18892,31.422600000000003,0.00023629489603024578,101.03629710818451,7,9,1.0
13,3.174,25.392,0.0001890359168241966,288.6751345948129,10,12,1.0
14,2.645,22.218,0.00016635160680529302,288.6751345948129,10,13,1.0
15,3.174,25.392,0.0001890359168241966,288.6751345948129,11,12,1.0
16,6.348,51.313,0.00038374291115311906,288.6751345948129,11,22,1.0
17,5.819,46.022999999999996,0.0003440453686200378,288.6751345948129,12,22,1.0
18,5.29,39.675,0.00029867674858223065,288.6751345948129,12,38,1.0
19,2.645,31.211,0.00015500945179584122,288.6751345948129,13,15,1.0
20,1.058,8.993,6.805293005671077e-05,288.6751345948129,14,15,1.0
21,3.174,25.921,0.00019470699432892253,288.6751345948129,14,20,1.0
22,3.174,25.921,0.00019470699432892253,288.6751345948129,14,20,1.0
23,3.7030000000000003,27.508,0.00020604914933837433,288.6751345948129,14,23,1.0
24,1.587,13.754,0.00010396975425330812,288.6751345948129,15,16,1.0
25,1.587,12.167,9.262759924385635e-05,288.6751345948129,15,18,1.0
26,1.058,7.406000000000001,5.671077504725896e-05,288.6751345948129,16,17,1.0
27,7.406000000000001,55.544999999999995,0.00041776937618147455,288.6751345948129,16,21,1.0
28,1.587,13.754,0.00010396975425330812,288.6751345948129,17,20,1.0
29,1.587,13.754,0.00010396975425330812,288.6751345948129,17,20,1.0
30,2.645,21.16,0.0001568998109640832,288.6751345948129,18,19,1.0
31,2.645,21.16,0.0001568998109640832,288.6751345948129,18,19,1.0
32,1.587,11.638,8.695652173913041e-05,288.6751345948129,19,22,1.0
33,1.587,11.638,8.695652173913041e-05,288.6751345948129,19,22,1.0
34,4.760999999999999,35.972,0.00026843100189035914,288.6751345948129,20,21,1.0
35,5.29,39.146,0.00029300567107750475,288.6751345948129,22,40,1.0
36,0.57132,2.66616,0.0024207099348876287,101.03629710818451,24,25,1.0
37,10.4742,40.18284,0.00029930686830497794,101.03629710818451,24,26,1.0
38,4.18968,16.1874,0.00012077294685990338,101.03629710818451,24,28,1.0
39,6.2845200000000006,24.18588,0.00017853392144507457,101.03629710818451,25,27,1.0
40,9.522,36.56448,0.0002730518798571728,101.03629710818451,25,29,1.0
41,5.90364,22.66236,0.00016803192606595254,101.03629710818451,26,32,1.0
42,5.14188,19.80576,0.00014702793530770847,101.03629710818451,27,32,1.0
43,4.38012,16.75872,0.00012602394454946442,101.03629710818451,28,33,1.0
44,2.66616,11.61684,0.01291220331863054,101.03629710818451,29,33,1.0
45,3.04704,11.61684,8.926696072253729e-05,101.03629710818451,30,31,1.0
46,8.18892,31.422600000000003,0.00023629489603024578,101.03629710818451,31,32,1.0
47,8.18892,31.422600000000003,0.00023629489603024578,101.03629710818451,31,33,1.0
48,3.174,25.392,0.0001890359168241966,288.6751345948129,34,36,1.0
49,2.645,22.218,0.00016635160680529302,288.6751345948129,34,37,1.0
50,3.174,25.392,0.0001890359168241966,288.6751345948129,35,36,1.0
51,6.348,51.313,0.00038374291115311906,288.6751345948129,35,46,1.0
52,5.819,46.022999999999996,0.0003440453686200378,288.6751345948129,36,46,1.0
53,2.645,31.211,0.00015500945179584122,288.6751345948129,37,39,1.0
54,1.058,8.993,6.805293005671077e-05,288.6751345948129,38,39,1.0
55,3.174,25.921,0.00019470699432892253,288.6751345948129,38,44,1.0
56,3.174,25.921,0.00019470699432892253,288.6751345948129,38,44,1.0
57,3.7030000000000003,27.508,0.00020604914933837433,288.6751345948129,38,47,1.0
58,1.587,13.754,0.00010396975425330812,288.6751345948129,39,40,1.0
59,1.587,12.167,9.262759924385635e-05,288.6751345948129,39,42,1.0
60,1.058,7.406000000000001,5.671077504725896e-05,288.6751345948129,40,41,1.0
61,7.406000000000001,55.544999999999995,0.00041776937618147455,288.6751345948129,40,45,1.0
62,1.587,13.754,0.00010396975425330812,288.6751345948129,41,44,1.0
63,1.587,13.754,0.00010396975425330812,288.6751345948129,41,44,1.0
64,2.645,21.16,0.0001568998109640832,288.6751345948129,42,43,1.0
65,2.645,21.16,0.0001568998109640832,288.6751345948129,42,43,1.0
66,1.587,11.638,8.695652173913041e-05,288.6751345948129,43,46,1.0
67,1.587,11.638,8.695652173913041e-05,288.6751345948129,43,46,1.0
68,4.760999999999999,35.972,0.00026843100189035914,288.6751345948129,44,45,1.0
69,0.57132,2.66616,0.0024207099348876287,101.03629710818451,48,49,1.0
70,10.4742,40.18284,0.00029930686830497794,101.03629710818451,48,50,1.0
71,4.18968,16.1874,0.00012077294685990338,101.03629710818451,48,52,1.0
72,6.2845200000000006,24.18588,0.00017853392144507457,101.03629710818451,49,51,1.0
73,9.522,36.56448,0.0002730518798571728,101.03629710818451,49,53,1.0
74,5.90364,22.66236,0.00016803192606595254,101.03629710818451,50,56,1.0
75,5.14188,19.80576,0.00014702793530770847,101.03629710818451,51,56,1.0
76,4.38012,16.75872,0.00012602394454946442,101.03629710818451,52,57,1.0
77,2.66616,11.61684,0.01291220331863054,101.03629710818451,53,57,1.0
78,3.04704,11.61684,8.926696072253729e-05,101.03629710818451,54,55,1.0
79,8.18892,31.422600000000003,0.00023629489603024578,101.03629710818451,55,56,1.0
80,8.18892,31.422600000000003,0.00023629489603024578,101.03629710818451,55,57,1.0
81,3.174,25.392,0.0001890359168241966,288.6751345948129,58,60,1.0
82,2.645,22.218,0.00016635160680529302,288.6751345948129,58,61,1.0
83,3.174,25.392,0.0001890359168241966,288.6751345948129,59,60,1.0
84,6.348,51.313,0.00038374291115311906,288.6751345948129,59,70,1.0
85,5.819,46.022999999999996,0.0003440453686200378,288.6751345948129,60,70,1.0
86,2.645,31.211,0.00015500945179584122,288.6751345948129,61,63,1.0
87,1.058,8.993,6.805293005671077e-05,288.6751345948129,62,63,1.0
88,3.174,25.921,0.00019470699432892253,288.6751345948129,62,68,1.0
89,3.174,25.921,0.00019470699432892253,288.6751345948129,62,68,1.0
90,3.7030000000000003,27.508,0.00020604914933837433,288.6751345948129,62,71,1.0
91,1.587,13.754,0.00010396975425330812,288.6751345948129,63,64,1.0
92,1.587,12.167,9.262759924385635e-05,288.6751345948129,63,66,1.0
93,1.058,7.406000000000001,5.671077504725896e-05,288.6751345948129,64,65,1.0
94,7.406000000000001,55.544999999999995,0.00041776937618147455,288.6751345948129,64,69,1.0
95,1.587,13.754,0.00010396975425330812,288.6751345948129,65,68,1.0
96,1.587,13.754,0.00010396975425330812,288.6751345948129,65,68,1.0
97,2.645,21.16,0.0001568998109640832,288.6751345948129,66,67,1.0
98,2.645,21.16,0.0001568998109640832,288.6751345948129,66,67,1.0
99,1.587,11.638,8.695652173913041e-05,288.6751345948129,67,70,1.0
100,1.587,11.638,8.695652173913041e-05,288.6751345948129,67,70,1.0
101,4.760999999999999,35.972,0.00026843100189035914,288.6751345948129,68,69,1.0
102,6.348,51.313,0.00038374291115311906,288.6751345948129,72,20,1.0
103,6.877,55.016,0.00041209829867674865,288.6751345948129,65,46,1.0
104,0.0,4.760999999999999,0.0,416.84689435490986,70,72,1.0
